TYPECOM,COM,TNCC,NCC,NCCENR,LIBELLE,DATE_DEBUT,DATE_FIN
COM,30258,0,SAINT GILLES,Saint-Gilles,Saint-Gilles,1943-01-01,
COM,35001,1,ACIGNE,Acigné,Acigné,1943-01-01,
COM,35022,0,BECHEREL,Bécherel,Bécherel,1943-01-01,
COM,35024,0,BETTON,Betton,Betton,1943-01-01,
COM,35032,0,BOURGBARRE,Bourgbarré,Bourgbarré,1943-01-01,
COM,35039,0,BRECE,Brécé,Brécé,1943-01-01,
COM,35047,0,BRUZ,Bruz,Bruz,1943-01-01,
COM,35051,0,CESSON SEVIGNE,Cesson-Sévigné,Cesson-Sévigné,1943-01-01,
COM,35055,0,CHANTEPIE,Chantepie,Chantepie,1943-01-01,
COM,35058,3,CHAPELLE CHAUSSEE,Chapelle-Chaussée,La Chapelle-Chaussée,1943-01-01,
COM,35059,3,CHAPELLE DES FOUGERETZ,Chapelle-des-Fougeretz,La Chapelle-des-Fougeretz,1943-01-01,
COM,35065,3,CHAPELLE THOUARAULT,Chapelle-Thouarault,La Chapelle-Thouarault,1943-01-01,
COM,35066,0,CHARTRES DE BRETAGNE,Chartres-de-Bretagne,Chartres-de-Bretagne,1943-01-01,
COM,35076,0,CHAVAGNE,Chavagne,Chavagne,1943-01-01,
COM,35079,0,CHEVAIGNE,Chevaigné,Chevaigné,1943-01-01,
COM,35080,0,CINTRE,Cintré,Cintré,1943-01-01,
COM,35081,0,CLAYES,Clayes,Clayes,1943-01-01,
COM,35088,0,CORPS NUDS,Corps-Nuds,Corps-Nuds,1943-01-01,
COM,35120,0,GEVEZE,Gévezé,Gévezé,1943-01-01,
COM,35131,5,HERMITAGE,Hermitage,L'Hermitage,1943-01-01,
COM,35139,0,LAILLE,Laillé,Laillé,1943-01-01,
COM,35144,0,LANGAN,Langan,Langan,1943-01-01,
COM,35180,0,MINIAC SOUS BECHEREL,Miniac-sous-Bécherel,Miniac-sous-Bécherel,1943-01-01,
COM,35189,0,MONTGERMONT,Montgermont,Montgermont,1943-01-01,
COM,35196,0,MORDELLES,Mordelles,Mordelles,1943-01-01,
COM,35204,0,NOUVOITOU,Nouvoitou,Nouvoitou,1943-01-01,
COM,35206,0,NOYAL CHATILLON SUR SEICHE,Noyal-Châtillon-sur-Seiche,Noyal-Châtillon-sur-Seiche,1993-01-01,
COM,35208,1,ORGERES,Orgères,Orgères,1943-01-01,
COM,35210,0,PACE,Pacé,Pacé,1943-01-01,
COM,35216,0,PARTHENAY DE BRETAGNE,Parthenay-de-Bretagne,Parthenay-de-Bretagne,1943-01-01,
COM,35238,0,RENNES,Rennes,Rennes,1943-01-01,
COM,35240,2,RHEU,Rheu,Le Rheu,1943-01-01,
COM,35245,0,ROMILLE,Romillé,Romillé,1943-01-01,
COM,35250,0,SAINT ARMEL,Saint-Armel,Saint-Armel,1943-01-01,
COM,35266,0,SAINT ERBLON,Saint-Erblon,Saint-Erblon,1943-01-01,
COM,35275,0,SAINT GILLES,Saint-Gilles,Saint-Gilles,1943-01-01,
COM,35278,0,SAINT GREGOIRE,Saint-Grégoire,Saint-Grégoire,1943-01-01,
COM,35281,0,SAINT JACQUES DE LA LANDE,Saint-Jacques-de-la-Lande,Saint-Jacques-de-la-Lande,1943-01-01,
COM,35315,0,SAINT SULPICE LA FORET,Saint-Sulpice-la-Forêt,Saint-Sulpice-la-Forêt,1943-01-01,
COM,35334,0,THORIGNE FOUILLARD,Thorigné-Fouillard,Thorigné-Fouillard,1984-11-19,
COM,35351,2,VERGER,Verger,Le Verger,1943-01-01,
COM,35352,0,VERN SUR SEICHE,Vern-sur-Seiche,Vern-sur-Seiche,1943-01-01,
COM,35353,0,VEZIN LE COQUET,Vezin-le-Coquet,Vezin-le-Coquet,1943-01-01,
COM,35363,0,PONT PEAN,Pont-Péan,Pont-Péan,1986-01-01,
COM,36196,0,SAINT GILLES,Saint-Gilles,Saint-Gilles,1943-01-01,
COM,50483,0,SAINT GILLES,Saint-Gilles,Saint-Gilles,1943-01-01,
COM,51484,0,SAINT GILLES,Saint-Gilles,Saint-Gilles,1943-01-01,
COM,53042,0,BRECE,Brecé,Brecé,1943-01-01,
COM,53214,0,SAINT ERBLON,Saint-Erblon,Saint-Erblon,1943-01-01,
COM,56205,0,SAINT ARMEL,Saint-Armel,Saint-Armel,1943-01-01,
COM,61317,1,ORGERES,Orgères,Orgères,1943-01-01,
COM,61321,0,PACE,Pacé,Pacé,1943-01-01,
COM,71425,0,SAINT GILLES,Saint-Gilles,Saint-Gilles,1943-01-01,
COM,79082,0,CHAVAGNE,Chavagné,Chavagné,1943-01-01,1965-09-23
COM,81253,0,SAINT GREGOIRE,Saint-Grégoire,Saint-Grégoire,1943-01-01,
