REG,DEP,EPCI,LIBEPCI,CODGEO,LIBGEO,TLV/THLV
53,35,243500139,Rennes Métropole,35001,Acigné,non
53,35,243500139,Rennes Métropole,35022,Bécherel,non
53,35,243500139,Rennes Métropole,35024,Betton,non
53,35,243500139,Rennes Métropole,35032,Bourgbarré,non
53,35,243500139,Rennes Métropole,35039,Brécé,non
53,35,243500139,Rennes Métropole,35047,Bruz,non
53,35,243500139,Rennes Métropole,35051,Cesson-Sévigné,non
53,35,243500139,Rennes Métropole,35055,Chantepie,non
53,35,243500139,Rennes Métropole,35058,La Chapelle-Chaussée,non
53,35,243500139,Rennes Métropole,35059,La Chapelle-des-Fougeretz,non
53,35,243500139,Rennes Métropole,35065,La Chapelle-Thouarault,non
53,35,243500139,Rennes Métropole,35066,Chartres-de-Bretagne,non
53,35,243500139,Rennes Métropole,35076,Chavagne,non
53,35,243500139,Rennes Métropole,35079,Chevaigné,non
53,35,243500139,Rennes Métropole,35080,Cintré,non
53,35,243500139,Rennes Métropole,35081,Clayes,non
53,35,243500139,Rennes Métropole,35088,Corps-Nuds,non
53,35,243500139,Rennes Métropole,35120,Gévezé,non
53,35,243500139,Rennes Métropole,35131,L'Hermitage,non
53,35,243500782,CA du Pays de Saint Malo Agglomération,35132,Hirel,non
53,35,200038990,CC de Saint-Méen Montauban,35135,Irodouër,non
53,35,243500634,CC Roche aux Fées Communauté,35136,Janzé,non
53,35,243500139,Rennes Métropole,35139,Laillé,non
53,35,243500139,Rennes Métropole,35144,Langan,non
53,35,200072452,CA Fougères Agglomération,35150,Lécousse,non
53,35,200043990,CC Vallons de Haute-Bretagne Communauté,35160,Loutehel,non
53,35,200039022,CA Vitré Communauté,35170,Mecé,non
53,35,243500139,Rennes Métropole,35180,Miniac-sous-Bécherel,non
53,35,243500139,Rennes Métropole,35189,Montgermont,non
53,35,200072452,CA Fougères Agglomération,35190,Monthault,non
53,35,243500139,Rennes Métropole,35196,Mordelles,non
53,35,200039022,CA Vitré Communauté,35200,Moutiers,non
53,35,243500139,Rennes Métropole,35204,Nouvoitou,non
53,35,243500139,Rennes Métropole,35206,Noyal-Châtillon-sur-Seiche,non
53,35,243500139,Rennes Métropole,35208,Orgères,non
53,35,243500139,Rennes Métropole,35210,Pacé,non
53,35,243500139,Rennes Métropole,35216,Parthenay-de-Bretagne,non
53,35,200072452,CA Fougères Agglomération,35230,Poilley,non
53,35,200039022,CA Vitré Communauté,35235,Rannée,non
53,35,243500139,Rennes Métropole,35238,Rennes,non
53,35,243500139,Rennes Métropole,35240,Le Rheu,non
53,35,243500139,Rennes Métropole,35245,Romillé,non
53,35,243500139,Rennes Métropole,35250,Saint-Armel,non
53,35,243500139,Rennes Métropole,35266,Saint-Erblon,non
53,35,243500139,Rennes Métropole,35275,Saint-Gilles,non
53,35,243500139,Rennes Métropole,35278,Saint-Grégoire,non
53,35,243500139,Rennes Métropole,35281,Saint-Jacques-de-la-Lande,non
53,35,200072452,CA Fougères Agglomération,35310,Saint-Sauveur-des-Landes,non
53,35,243500139,Rennes Métropole,35315,Saint-Sulpice-la-Forêt,non
53,35,243500139,Rennes Métropole,35334,Thorigné-Fouillard,non
53,35,243500139,Rennes Métropole,35351,Le Verger,non
53,35,243500139,Rennes Métropole,35352,Vern-sur-Seiche,non
53,35,243500139,Rennes Métropole,35353,Vezin-le-Coquet,non
53,35,243500139,Rennes Métropole,35363,Pont-Péan,non
