date_mesure,geocode_commune,libelle_commune,type_accroche,valeur
2022-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,cadre,0.0
2025-01-01T00:00:00.000,35120,Gévezé,sans accroche,0.0
2022-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,roue,0.0
2023-01-01T00:00:00.000,35132,Hirel,sans accroche,0.0
2024-01-01T00:00:00.000,35351,Le Verger,cadre et roue,0.0
2025-01-01T00:00:00.000,35136,Janzé,cadre et roue,50.0
2025-01-01T00:00:00.000,35058,La Chapelle-Chaussée,roue,8.0
2022-01-01T00:00:00.000,35216,Parthenay-de-Bretagne,cadre et roue,0.0
2023-01-01T00:00:00.000,35080,Cintré,cadre et roue,12.0
2024-01-01T00:00:00.000,35139,Laillé,cadre,0.0
2023-01-01T00:00:00.000,35208,Orgères,roue,5.0
2024-01-01T00:00:00.000,35200,Moutiers,sans accroche,0.0
2023-01-01T00:00:00.000,35230,Poilley,roue,0.0
2022-01-01T00:00:00.000,35160,Loutehel,cadre,0.0
2025-01-01T00:00:00.000,35055,Chantepie,sans accroche,32.0
2024-01-01T00:00:00.000,35135,Irodouër,cadre et roue,0.0
2022-01-01T00:00:00.000,35189,Montgermont,sans accroche,8.0
2022-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,sans accroche,0.0
2022-01-01T00:00:00.000,35032,Bourgbarré,roue,18.0
2022-01-01T00:00:00.000,35160,Loutehel,sans accroche,0.0
2025-01-01T00:00:00.000,35132,Hirel,cadre et roue,4.0
2022-01-01T00:00:00.000,35334,Thorigné-Fouillard,sans accroche,47.0
2025-01-01T00:00:00.000,35189,Montgermont,sans accroche,8.0
2024-01-01T00:00:00.000,35131,L'Hermitage,roue,8.0
2023-01-01T00:00:00.000,35352,Vern-sur-Seiche,roue,34.0
2023-01-01T00:00:00.000,35144,Langan,cadre et roue,0.0
2024-01-01T00:00:00.000,35200,Moutiers,roue,0.0
2022-01-01T00:00:00.000,35022,Bécherel,roue,0.0
2023-01-01T00:00:00.000,35120,Gévezé,cadre,0.0
2025-01-01T00:00:00.000,35190,Monthault,cadre et roue,0.0
2025-01-01T00:00:00.000,35230,Poilley,roue,0.0
2025-01-01T00:00:00.000,35136,Janzé,sans accroche,12.0
2022-01-01T00:00:00.000,35278,Saint-Grégoire,sans accroche,6.0
2024-01-01T00:00:00.000,35132,Hirel,cadre et roue,0.0
2022-01-01T00:00:00.000,35278,Saint-Grégoire,cadre et roue,108.0
2025-01-01T00:00:00.000,35079,Chevaigné,roue,11.0
2023-01-01T00:00:00.000,35001,Acigné,cadre,0.0
2024-01-01T00:00:00.000,35136,Janzé,roue,53.0
2025-01-01T00:00:00.000,35032,Bourgbarré,roue,26.0
2022-01-01T00:00:00.000,35136,Janzé,roue,0.0
2024-01-01T00:00:00.000,35230,Poilley,cadre,0.0
2024-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,cadre,0.0
2023-01-01T00:00:00.000,35051,Cesson-Sévigné,cadre,22.0
2022-01-01T00:00:00.000,35079,Chevaigné,roue,0.0
2024-01-01T00:00:00.000,35081,Clayes,sans accroche,0.0
2025-01-01T00:00:00.000,35120,Gévezé,roue,5.0
2022-01-01T00:00:00.000,35066,Chartres-de-Bretagne,cadre,0.0
2023-01-01T00:00:00.000,35088,Corps-Nuds,cadre et roue,50.0
2023-01-01T00:00:00.000,35216,Parthenay-de-Bretagne,cadre,0.0
2023-01-01T00:00:00.000,35235,Rannée,cadre et roue,0.0
2025-01-01T00:00:00.000,35131,L'Hermitage,roue,8.0
2024-01-01T00:00:00.000,35210,Pacé,cadre et roue,80.0
2025-01-01T00:00:00.000,35275,Saint-Gilles,cadre et roue,10.0
2024-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,cadre,0.0
2024-01-01T00:00:00.000,35055,Chantepie,roue,28.0
2022-01-01T00:00:00.000,35363,Pont-Péan,cadre et roue,10.0
2024-01-01T00:00:00.000,35136,Janzé,cadre et roue,18.0
2023-01-01T00:00:00.000,35055,Chantepie,sans accroche,22.0
2023-01-01T00:00:00.000,35131,L'Hermitage,sans accroche,6.0
2023-01-01T00:00:00.000,35066,Chartres-de-Bretagne,roue,60.0
2023-01-01T00:00:00.000,35136,Janzé,roue,53.0
2022-01-01T00:00:00.000,35238,Rennes,roue,450.0
2025-01-01T00:00:00.000,35136,Janzé,cadre,0.0
2023-01-01T00:00:00.000,35235,Rannée,sans accroche,8.0
2022-01-01T00:00:00.000,35245,Romillé,cadre et roue,0.0
2022-01-01T00:00:00.000,35139,Laillé,cadre et roue,0.0
2023-01-01T00:00:00.000,35039,Brécé,roue,0.0
2022-01-01T00:00:00.000,35039,Brécé,cadre et roue,1.0
2022-01-01T00:00:00.000,35131,L'Hermitage,cadre,0.0
