CODGEO,DEP,LIBGEO,Zonage ABC en vigueur depuis le 26 juin 2026
35001,35,Acigné,B1
35022,35,Bécherel,C
35024,35,Betton,B1
35032,35,Bourgbarré,B2
35039,35,Brécé,B2
35047,35,Bruz,B1
35051,35,Cesson-Sévigné,B1
35055,35,Chantepie,B1
35058,35,La Chapelle-Chaussée,C
35059,35,La Chapelle-des-Fougeretz,B1
35065,35,La Chapelle-Thouarault,B2
35066,35,Chartres-de-Bretagne,B1
35076,35,Chavagne,B1
35079,35,Chevaigné,B1
35080,35,Cintré,B2
35081,35,Clayes,B2
35088,35,Corps-Nuds,B2
35120,35,Gévezé,B1
35131,35,L'Hermitage,B1
35132,35,Hirel,B2
35135,35,Irodouër,C
35136,35,Janzé,C
35139,35,Laillé,B2
35144,35,Langan,C
35150,35,Lécousse,C
35160,35,Loutehel,C
35170,35,Mecé,C
35180,35,Miniac-sous-Bécherel,C
35189,35,Montgermont,B1
35190,35,Monthault,C
35196,35,Mordelles,B1
35200,35,Moutiers,C
35204,35,Nouvoitou,B2
35206,35,Noyal-Châtillon-sur-Seiche,B1
35208,35,Orgères,B1
35210,35,Pacé,B1
35216,35,Parthenay-de-Bretagne,B2
35230,35,Poilley,C
35235,35,Rannée,C
35238,35,Rennes,A
35240,35,Le Rheu,B1
35245,35,Romillé,C
35250,35,Saint-Armel,B2
35266,35,Saint-Erblon,B1
35275,35,Saint-Gilles,B1
35278,35,Saint-Grégoire,B1
35281,35,Saint-Jacques-de-la-Lande,B1
35310,35,Saint-Sauveur-des-Landes,C
35315,35,Saint-Sulpice-la-Forêt,B2
35334,35,Thorigné-Fouillard,B1
35351,35,Le Verger,B2
35352,35,Vern-sur-Seiche,B1
35353,35,Vezin-le-Coquet,B1
35363,35,Pont-Péan,B1
