insee,nom,couleur
35079,Chevaigné,3
35144,Langan,1
35139,Laillé,2
35135,Irodouër,5
35047,Bruz,4
35136,Janzé,1
35351,Le Verger,5
35363,Pont-Péan,1
35204,Nouvoitou,4
35088,Corps-Nuds,3
35281,Saint-Jacques-de-la-Lande,3
35032,Bourgbarré,1
35250,Saint-Armel,5
35238,Rennes,2
35278,Saint-Grégoire,5
35310,Saint-Sauveur-des-Landes,3
35170,Mecé,1
35230,Poilley,5
35206,Noyal-Châtillon-sur-Seiche,4
35190,Monthault,3
35055,Chantepie,5
35352,Vern-sur-Seiche,3
35039,Brécé,2
35066,Chartres-de-Bretagne,5
35266,Saint-Erblon,2
35080,Cintré,2
35081,Clayes,3
35131,L'Hermitage,2
35001,Acigné,1
35334,Thorigné-Fouillard,4
35315,Saint-Sulpice-la-Forêt,3
35059,La Chapelle-des-Fougeretz,2
35216,Parthenay-de-Bretagne,5
35200,Moutiers,1
35022,Bécherel,5
35180,Miniac-sous-Bécherel,4
35245,Romillé,3
35208,Orgères,5
35196,Mordelles,4
35065,La Chapelle-Thouarault,5
35076,Chavagne,2
35160,Loutehel,5
35058,La Chapelle-Chaussée,2
35210,Pacé,3
35120,Gévezé,2
35275,Saint-Gilles,4
35240,Le Rheu,5
35353,Vezin-le-Coquet,4
35051,Cesson-Sévigné,3
35024,Betton,1
35189,Montgermont,1
35235,Rannée,3
35150,Lécousse,3
35132,Hirel,1
