Code_insee,Code postal,Région,Département,Libellé_geographique
35136,35150,Bretagne,Ille-et-Vilaine,Janzé
35024,35830,Bretagne,Ille-et-Vilaine,Betton
35204,35410,Bretagne,Ille-et-Vilaine,Nouvoitou
35055,35135,Bretagne,Ille-et-Vilaine,Chantepie
35278,35760,Bretagne,Ille-et-Vilaine,Saint-Grégoire
35206,35230,Bretagne,Ille-et-Vilaine,Noyal-Châtillon-sur-Seiche
35238,35031,Bretagne,Ille-et-Vilaine,Rennes
35352,35770,Bretagne,Ille-et-Vilaine,Vern-sur-Seiche
35051,35510,Bretagne,Ille-et-Vilaine,Cesson-Sévigné
35189,35760,Bretagne,Ille-et-Vilaine,Montgermont
35047,35170,Bretagne,Ille-et-Vilaine,Bruz
35334,35235,Bretagne,Ille-et-Vilaine,Thorigné-Fouillard
35032,35230,Bretagne,Ille-et-Vilaine,Bourgbarré
35139,35890,Bretagne,Ille-et-Vilaine,Laillé
35240,35650,Bretagne,Ille-et-Vilaine,Le Rheu
35135,35850,Bretagne,Ille-et-Vilaine,Irodouër
35066,35131,Bretagne,Ille-et-Vilaine,Chartres-de-Bretagne
