commune,insee_commune,population,surface_en_ha,couverture_lcz,details_couverture_lcz,epci,siren_epci,departement,insee_departement,region,insee_region
Acigné,35001,6834,2955,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Bécherel,35022,688,57,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Betton,35024,12265,2673,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Bourgbarré,35032,4515,1420,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Brécé,35039,2059,716,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Bruz,35047,18905,2995,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Cesson-Sévigné,35051,17082,3214,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Chantepie,35055,10278,1198,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
La Chapelle-Chaussée,35058,1295,1476,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
La Chapelle-des-Fougeretz,35059,4682,871,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
La Chapelle-Thouarault,35065,2219,764,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Chartres-de-Bretagne,35066,8157,995,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Chavagne,35076,4268,1244,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Chevaigné,35079,2325,1033,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Cintré,35080,2410,832,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Clayes,35081,908,428,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Corps-Nuds,35088,3434,2256,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Gévezé,35120,5521,2754,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
L'Hermitage,35131,4629,683,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Hirel,35132,1389,985,0.00,[hors couverture],CA du Pays de Saint Malo Agglomération,243500782,Ille-et-Vilaine,35,Bretagne,53
Irodouër,35135,2263,2354,100.00,Rennes = 100.0 %,CC de Saint-Méen Montauban,200038990,Ille-et-Vilaine,35,Bretagne,53
Janzé,35136,8470,4126,100.00,Rennes = 100.0 %,CC Roche aux Fées Communauté,243500634,Ille-et-Vilaine,35,Bretagne,53
Laillé,35139,5116,3204,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Langan,35144,1031,780,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Lécousse,35150,3260,1107,0.00,[hors couverture],CA Fougères Agglomération,200072452,Ille-et-Vilaine,35,Bretagne,53
Loutehel,35160,247,721,99.60,Rennes = 99.6 % | [hors couverture = 0.4 %],CC Vallons de Haute-Bretagne Communauté,200043990,Ille-et-Vilaine,35,Bretagne,53
Mecé,35170,607,1563,0.00,[hors couverture],CA Vitré Communauté,200039022,Ille-et-Vilaine,35,Bretagne,53
Miniac-sous-Bécherel,35180,792,1355,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Montgermont,35189,3515,467,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Monthault,35190,250,820,0.00,[hors couverture],CA Fougères Agglomération,200072452,Ille-et-Vilaine,35,Bretagne,53
Mordelles,35196,7338,2976,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Moutiers,35200,919,1764,0.00,[hors couverture],CA Vitré Communauté,200039022,Ille-et-Vilaine,35,Bretagne,53
Nouvoitou,35204,3281,1893,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Noyal-Châtillon-sur-Seiche,35206,7003,2651,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Orgères,35208,5152,1633,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Pacé,35210,11860,3494,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Parthenay-de-Bretagne,35216,1780,480,100.00,Rennes = 100.0 %,Rennes Métropole,243500139,Ille-et-Vilaine,35,Bretagne,53
Poilley,35230,374,1078,0.00,[hors couverture],CA Fougères Agglomération,200072452,Ille-et-Vilaine,35,Bretagne,53
Rannée,35235,1076,5195,0.00,[hors couverture],CA Vitré Communauté,200039022,Ille-et-Vilaine,35,Bretagne,53
