Commune,Libellé Commune,Orig. CA,N° CA,Cour d'Appel compétente,Orig. TJ,N° TJ,Tribunal judiciaire compétent,Orig. TPRX,N° TPRX,Tribunal de proximité compétent (hors communes exclusives aux TJ),Orig. CPH,N° CPH,Conseil de Prud'hommes compétent
35001,ACIGNE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35022,BECHEREL,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35024,BETTON,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35032,BOURGBARRE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35039,BRECE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35047,BRUZ,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35051,CESSON SEVIGNE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35055,CHANTEPIE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35058,LA CHAPELLE CHAUSSEE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35059,LA CHAPELLE DES FOUGERETZ,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35065,LA CHAPELLE THOUARAULT,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35066,CHARTRES DE BRETAGNE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35076,CHAVAGNE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35079,CHEVAIGNE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35080,CINTRE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35081,CLAYES,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35088,CORPS NUDS,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35120,GEVEZE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35131,L HERMITAGE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35132,HIREL,1,11,Cour d'Appel de Rennes,1,99,Tribunal judiciaire de Saint-Malo,,,,1,1031,Conseil de Prud'hommes de Saint-Malo
35135,IRODOUER,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35136,JANZE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35139,LAILLE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,9,63053,Tribunal de proximité de Redon,1,1030,Conseil de Prud'hommes de Rennes
35144,LANGAN,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35150,LECOUSSE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,9,63002,Tribunal de proximité de Fougères,1,1030,Conseil de Prud'hommes de Rennes
35160,LOUTEHEL,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,9,63053,Tribunal de proximité de Redon,1,1030,Conseil de Prud'hommes de Rennes
35170,MECE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,9,63002,Tribunal de proximité de Fougères,1,1030,Conseil de Prud'hommes de Rennes
35180,MINIAC SOUS BECHEREL,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35189,MONTGERMONT,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35190,MONTHAULT,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,9,63002,Tribunal de proximité de Fougères,1,1030,Conseil de Prud'hommes de Rennes
35196,MORDELLES,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35200,MOUTIERS,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,9,63002,Tribunal de proximité de Fougères,1,1030,Conseil de Prud'hommes de Rennes
35204,NOUVOITOU,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35206,NOYAL CHATILLON SUR SEICHE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35208,ORGERES,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35210,PACE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35216,PARTHENAY DE BRETAGNE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35230,POILLEY,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,9,63002,Tribunal de proximité de Fougères,1,1030,Conseil de Prud'hommes de Rennes
35235,RANNEE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,9,63002,Tribunal de proximité de Fougères,1,1030,Conseil de Prud'hommes de Rennes
35238,RENNES,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35240,LE RHEU,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35245,ROMILLE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35250,ST ARMEL,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35266,ST ERBLON,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35275,ST GILLES,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35278,ST GREGOIRE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35281,ST JACQUES DE LA LANDE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35310,ST SAUVEUR DES LANDES,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,9,63002,Tribunal de proximité de Fougères,1,1030,Conseil de Prud'hommes de Rennes
35315,ST SULPICE LA FORET,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35334,THORIGNE FOUILLARD,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35351,LE VERGER,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35352,VERN SUR SEICHE,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35353,VEZIN LE COQUET,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
35363,PONT PEAN,1,11,Cour d'Appel de Rennes,1,98,Tribunal judiciaire de Rennes,,,,1,1030,Conseil de Prud'hommes de Rennes
