REG,DEP,LIBDEP,CODGEO,LIBGEO,ANNEE,Existence d'une convention de mutualisation,Nombre d'agents de police municipale,Nombre d'ASVP,Nombre de gardes champêtres,Nombre de brigades canines (2013),Nombre de maîtres-chiens de police municipale,Nombre de chiens de patrouille de police municipale,Communes partenaires (commande R),Forme A (voir Notes d'attribution),Communes partenaires (code INSEE),Communes partenaires (libellé),Population municipale au 1er janvier de l'année d'enquête,Population municipale au 1er janvier de l'année suivante,Population couverte au 1er janvier de l'année d'enquête,Population couverte au 1er janvier de l'année suivante
53,35,ILLE_ET_VILAINE,35047,BRUZ,2013,NA,3,3,0,0,NA,NA,NA,0,NA,NA,16855,17372,16855,17372
53,35,ILLE_ET_VILAINE,35047,BRUZ,2014,NA,3,3,0,NA,0,0,NA,0,NA,NA,17372,17978,17372,17978
53,35,ILLE_ET_VILAINE,35047,BRUZ,2015,NA,3,0,0,NA,0,0,NA,0,NA,NA,17978,18094,17978,18094
53,35,ILLE_ET_VILAINE,35047,BRUZ,2016,NA,4,0,0,NA,0,0,NA,0,NA,NA,18094,18266,18094,18266
53,35,ILLE_ET_VILAINE,35047,BRUZ,2017,NA,3,0,0,NA,0,0,NA,0,NA,NA,18266,18516,18266,18516
53,35,ILLE_ET_VILAINE,35047,BRUZ,2018,NA,3,0,0,NA,0,0,NA,0,NA,NA,18516,18905,18516,18905
53,35,ILLE_ET_VILAINE,35047,BRUZ,2019,NA,4,1,0,NA,0,0,NA,0,NA,NA,18905,19090,18905,19090
53,35,ILLE_ET_VILAINE,35047,BRUZ,2020,NA,3,2,0,NA,0,0,NA,0,NA,NA,19090,19651,19090,19651
53,35,ILLE_ET_VILAINE,35047,BRUZ,2021,0,3,2,0,NA,0,0,NA,0,NA,NA,19651,19667,19651,19667
53,35,ILLE_ET_VILAINE,35047,BRUZ,2022,0,3,2,0,NA,0,0,NA,0,NA,NA,19667,19683,19667,19683
53,35,ILLE_ET_VILAINE,35047,BRUZ,2023,0,4,2,0,NA,0,0,NA,0,NA,NA,19683,NA,19683,NA
53,35,ILLE_ET_VILAINE,35047,BRUZ,2024,0,3,2,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
53,35,ILLE_ET_VILAINE,35051,CESSON_SEVIGNE,2013,NA,7,0,0,0,NA,NA,NA,0,NA,NA,16784,17233,16784,17233
53,35,ILLE_ET_VILAINE,35051,CESSON_SEVIGNE,2014,NA,7,0,0,NA,0,0,NA,0,NA,NA,17233,17414,17233,17414
53,35,ILLE_ET_VILAINE,35051,CESSON_SEVIGNE,2015,NA,9,0,0,NA,0,0,NA,0,NA,NA,17414,17371,17414,17371
53,35,ILLE_ET_VILAINE,35051,CESSON_SEVIGNE,2016,NA,9,0,0,NA,0,0,NA,0,NA,NA,17371,17526,17371,17526
